channel_info,followers,avg_likes,engagement_rate_like,influence_score,country
jenniferaniston,40.7m,4.6m,0.11302211302211303,85,
addisonraee,40.1m,3.1m,0.0773067331670823,85,
robertdowneyjr,53.4m,3.0m,0.056179775280898875,86,United States
chrishemsworth,55.9m,2.8m,0.05008944543828265,86,Australia
blackpinkofficial,48.2m,2.1m,0.043568464730290454,85,
haileybieber,46.9m,2.0m,0.042643923240938165,85,
zacefron,54.5m,2.3m,0.04220183486238532,86,United States
narendramodi,68.9m,2.9m,0.0420899854862119,85,India
zendaya,150.7m,5.8m,0.038487060384870604,87,United States
paulodybala,48.3m,1.8m,0.037267080745341616,85,
